name,cleaned_text
text1,stay grave rot dead buried casket carry goin alright turnin blue save nothin left lose baby birds feather stick change weather cryin love baby love day die day die light leaves eyes day die told compliments throw shit bit mind's polluted quit stupid cryin love baby goodbye birds feather stick day die light leaves eyes change weather day die life eyes love surprised
text2,fall love overseas havin dreams foyer knees body watchin gotta careful gotta watch god hope fall love matter bad breathe green dream week land feet sleep beliefs bri wait suite feet paranoid boys filled void spite paralyzed romanticized die alright overseas breathe green overseas dream week land feet overseas sleep beliefs suite discreet overseas havin dreams l'amour vie love bittersweet door knees stayin feet truth bitter listen watched pay close attention
text3,live black white blue true blue birds feather ashamed told lie desolee mon amour tryin store door blue mind overseas bird cage live black white blue true blu true blue tru blue true blue born bluer butterfly beautiful deprived oxygen colder father's eyes learned sympathize blame change hate save born reachin mother's hands victim father's plans rule afraid step paranoid petrified heard sleep hours night twenty-one week born blameless grew famous baby born blue blame change hate save sleep hours night twenty-one week sleep hours night twenty-one week sleep hours night twenty-one week sleep hours night twenty-one week hear
text4,love forget tomorrow kinda strange feelin sorrow change borrow tomorrow door cope told war store hope door love seat counter looked break gon called love waitin garden contemplatin beg pardon recognizes feel told curious door cope told war store hope door wringing hands lap trap wringing hands lap trap wringing hands lap trap
text5,afraid screens meant starrin dreams magazines lookin clock waitin block waitin block cops talk bet change life wife fight kiss goodnight waited corner sitter leave easy landed feet kitchen lookin eat left calling card save failed dollar bail dollar read mail read mail bring veil bring veil visit jail visit jail diner write letter write letter hope read time cops corner stopped leave told crazy knocked feet told crazy kitchen lookin discreet left calling card memorized feet car sleep somethin bet  
text6,rest life looked eyes confess told lie love life love life break heart waste time break lot apology feel kill leave fall love moved rest life looked eyes confess told lie told lie love life love life fall love fall love fault hard depressed losing mind stomach upset time left obvious love life lot apology feel kill leave fall love moved somethin told hand shoulder mediocre glad camera caught camera girl's camera girl's fan pity pretty
text7,eat girl lunch dances tongue tastes stuff craving crush bought somethin rare left claire comin stairs pullin chair puttin hair baby write recipe tryin hard overeat sweet shower cloth counter em eat girl lunch dances tongue tastes stuff craving crush pictures mirror god skin's bring seat volunteer smilin ear headlights deer bein friend break bend eat girl lunch dances tongue hunch eat girl lunch tastes eat girl lunch tastes
text8,fell love time friend sign feelin feel fine twenty-one lifetime people happy skinny real pretty acting age step stage bird cage dog pound secret internet hungry meanest funny somebody's gotta feed ver wrong pati nce wrong loved
text9,satisfied rest stayed night congratulations love patience admiration times waited naked painless oh-oh reward fight worth fighting worse congratulations love patience admiration times waited naked painless ah-oh loved passion waited god hate love patience unappreciated heart jaded break
text10,fall time breaks heart girl fell love cryin shoulder hold closer july love remind mind time fever burning alive sign cross life moves fast life moves fast happy leather happy love remind baby mind time feels fever burning alive burning alive sign cross time touch valentine's day cryin hotel hurt mind eyes time touch valentine's day cryin hotel hurt
